age,gender,point,events
9,M,20,"[{'Freestyle': [{'distance': 50, 'time': '00:31,49'}, {'distance': 100, 'time': '01:10,51'}, {'distance': 200, 'time': '02:34,95'}, {'distance': 400, 'time': '05:32,69'}, {'distance': 800, 'time': '11:38,40'}, {'distance': 1500, 'time': '22:18,60'}], 'Breaststroke': [{'distance': 50, 'time': '00:41,18'}, {'distance': 100, 'time': '01:31,83'}, {'distance': 200, 'time': '03:19,92'}], 'Butterfly': [{'distance': 50, 'time': '00:35,56'}, {'distance': 100, 'time': '01:20,62'}, {'distance': 200, 'time': '03:06,24'}], 'Backstroke': [{'distance': 50, 'time': '00:36,86'}, {'distance': 100, 'time': '01:21,24'}, {'distance': 200, 'time': '02:52,71'}], 'Medley': [{'distance': 200, 'time': '02:55,26'}, {'distance': 400, 'time': '06:32,85'}]}]"
9,M,19,"[{'Freestyle': [{'distance': 50, 'time': '00:31,97'}, {'distance': 100, 'time': '01:11,60'}, {'distance': 200, 'time': '02:37,34'}, {'distance': 400, 'time': '05:37,84'}, {'distance': 800, 'time': '11:49,20'}, {'distance': 1500, 'time': '22:39,30'}], 'Breaststroke': [{'distance': 50, 'time': '00:41,81'}, {'distance': 100, 'time': '01:33,25'}, {'distance': 200, 'time': '03:23,01'}], 'Butterfly': [{'distance': 50, 'time': '00:36,11'}, {'distance': 100, 'time': '01:21,86'}, {'distance': 200, 'time': '03:09,12'}], 'Backstroke': [{'distance': 50, 'time': '00:37,43'}, {'distance': 100, 'time': '01:22,49'}, {'distance': 200, 'time': '02:55,38'}], 'Medley': [{'distance': 200, 'time': '02:57,97'}, {'distance': 400, 'time': '06:38,92'}]}]"
9,M,18,"[{'Freestyle': [{'distance': 50, 'time': '00:32,46'}, {'distance': 100, 'time': '01:12,69'}, {'distance': 200, 'time': '02:39,74'}, {'distance': 400, 'time': '05:42,98'}, {'distance': 800, 'time': '12:00,00'}, {'distance': 1500, 'time': '23:00,00'}], 'Breaststroke': [{'distance': 50, 'time': '00:42,45'}, {'distance': 100, 'time': '01:34,67'}, {'distance': 200, 'time': '03:26,10'}], 'Butterfly': [{'distance': 50, 'time': '00:36,66'}, {'distance': 100, 'time': '01:23,11'}, {'distance': 200, 'time': '03:12,00'}], 'Backstroke': [{'distance': 50, 'time': '00:38,00'}, {'distance': 100, 'time': '01:23,75'}, {'distance': 200, 'time': '02:58,05'}], 'Medley': [{'distance': 200, 'time': '03:00,68'}, {'distance': 400, 'time': '06:45,00'}]}]"
9,M,17,"[{'Freestyle': [{'distance': 50, 'time': '00:32,95'}, {'distance': 100, 'time': '01:13,78'}, {'distance': 200, 'time': '02:42,14'}, {'distance': 400, 'time': '05:48,12'}, {'distance': 800, 'time': '12:10,80'}, {'distance': 1500, 'time': '23:20,70'}], 'Breaststroke': [{'distance': 50, 'time': '00:43,09'}, {'distance': 100, 'time': '01:36,09'}, {'distance': 200, 'time': '03:29,19'}], 'Butterfly': [{'distance': 50, 'time': '00:37,21'}, {'distance': 100, 'time': '01:24,36'}, {'distance': 200, 'time': '03:14,88'}], 'Backstroke': [{'distance': 50, 'time': '00:38,57'}, {'distance': 100, 'time': '01:25,01'}, {'distance': 200, 'time': '03:00,72'}], 'Medley': [{'distance': 200, 'time': '03:03,39'}, {'distance': 400, 'time': '06:51,07'}]}]"
9,M,16,"[{'Freestyle': [{'distance': 50, 'time': '00:33,43'}, {'distance': 100, 'time': '01:14,87'}, {'distance': 200, 'time': '02:44,53'}, {'distance': 400, 'time': '05:53,27'}, {'distance': 800, 'time': '12:21,60'}, {'distance': 1500, 'time': '23:41,40'}], 'Breaststroke': [{'distance': 50, 'time': '00:43,72'}, {'distance': 100, 'time': '01:37,51'}, {'distance': 200, 'time': '03:32,28'}], 'Butterfly': [{'distance': 50, 'time': '00:37,76'}, {'distance': 100, 'time': '01:25,60'}, {'distance': 200, 'time': '03:17,76'}], 'Backstroke': [{'distance': 50, 'time': '00:39,14'}, {'distance': 100, 'time': '01:26,26'}, {'distance': 200, 'time': '03:03,39'}], 'Medley': [{'distance': 200, 'time': '03:06,10'}, {'distance': 400, 'time': '06:57,15'}]}]"
9,M,15,"[{'Freestyle': [{'distance': 50, 'time': '00:33,92'}, {'distance': 100, 'time': '01:15,96'}, {'distance': 200, 'time': '02:46,93'}, {'distance': 400, 'time': '05:58,41'}, {'distance': 800, 'time': '12:32,40'}, {'distance': 1500, 'time': '24:02,10'}], 'Breaststroke': [{'distance': 50, 'time': '00:44,36'}, {'distance': 100, 'time': '01:38,93'}, {'distance': 200, 'time': '03:35,37'}], 'Butterfly': [{'distance': 50, 'time': '00:38,31'}, {'distance': 100, 'time': '01:26,85'}, {'distance': 200, 'time': '03:20,64'}], 'Backstroke': [{'distance': 50, 'time': '00:39,71'}, {'distance': 100, 'time': '01:27,52'}, {'distance': 200, 'time': '03:06,06'}], 'Medley': [{'distance': 200, 'time': '03:08,81'}, {'distance': 400, 'time': '07:03,23'}]}]"
9,M,14,"[{'Freestyle': [{'distance': 50, 'time': '00:34,41'}, {'distance': 100, 'time': '01:17,05'}, {'distance': 200, 'time': '02:49,32'}, {'distance': 400, 'time': '06:03,56'}, {'distance': 800, 'time': '12:43,20'}, {'distance': 1500, 'time': '24:22,80'}], 'Breaststroke': [{'distance': 50, 'time': '00:45,00'}, {'distance': 100, 'time': '01:40,35'}, {'distance': 200, 'time': '03:38,47'}], 'Butterfly': [{'distance': 50, 'time': '00:38,86'}, {'distance': 100, 'time': '01:28,10'}, {'distance': 200, 'time': '03:23,52'}], 'Backstroke': [{'distance': 50, 'time': '00:40,28'}, {'distance': 100, 'time': '01:28,77'}, {'distance': 200, 'time': '03:08,73'}], 'Medley': [{'distance': 200, 'time': '03:11,52'}, {'distance': 400, 'time': '07:09,30'}]}]"
9,M,13,"[{'Freestyle': [{'distance': 50, 'time': '00:34,89'}, {'distance': 100, 'time': '01:18,14'}, {'distance': 200, 'time': '02:51,72'}, {'distance': 400, 'time': '06:08,70'}, {'distance': 800, 'time': '12:54,00'}, {'distance': 1500, 'time': '24:43,50'}], 'Breaststroke': [{'distance': 50, 'time': '00:45,63'}, {'distance': 100, 'time': '01:41,77'}, {'distance': 200, 'time': '03:41,56'}], 'Butterfly': [{'distance': 50, 'time': '00:39,41'}, {'distance': 100, 'time': '01:29,34'}, {'distance': 200, 'time': '03:26,40'}], 'Backstroke': [{'distance': 50, 'time': '00:40,85'}, {'distance': 100, 'time': '01:30,03'}, {'distance': 200, 'time': '03:11,40'}], 'Medley': [{'distance': 200, 'time': '03:14,23'}, {'distance': 400, 'time': '07:15,37'}]}]"
9,M,12,"[{'Freestyle': [{'distance': 50, 'time': '00:35,38'}, {'distance': 100, 'time': '01:19,23'}, {'distance': 200, 'time': '02:54,12'}, {'distance': 400, 'time': '06:13,85'}, {'distance': 800, 'time': '13:04,80'}, {'distance': 1500, 'time': '25:04,20'}], 'Breaststroke': [{'distance': 50, 'time': '00:46,27'}, {'distance': 100, 'time': '01:43,19'}, {'distance': 200, 'time': '03:44,65'}], 'Butterfly': [{'distance': 50, 'time': '00:39,96'}, {'distance': 100, 'time': '01:30,59'}, {'distance': 200, 'time': '03:29,28'}], 'Backstroke': [{'distance': 50, 'time': '00:41,42'}, {'distance': 100, 'time': '01:31,29'}, {'distance': 200, 'time': '03:14,07'}], 'Medley': [{'distance': 200, 'time': '03:16,94'}, {'distance': 400, 'time': '07:21,45'}]}]"
9,M,11,"[{'Freestyle': [{'distance': 50, 'time': '00:35,87'}, {'distance': 100, 'time': '01:20,32'}, {'distance': 200, 'time': '02:56,51'}, {'distance': 400, 'time': '06:18,99'}, {'distance': 800, 'time': '13:15,60'}, {'distance': 1500, 'time': '25:24,90'}], 'Breaststroke': [{'distance': 50, 'time': '00:46,91'}, {'distance': 100, 'time': '01:44,61'}, {'distance': 200, 'time': '03:47,74'}], 'Butterfly': [{'distance': 50, 'time': '00:40,51'}, {'distance': 100, 'time': '01:31,84'}, {'distance': 200, 'time': '03:32,16'}], 'Backstroke': [{'distance': 50, 'time': '00:41,99'}, {'distance': 100, 'time': '01:32,54'}, {'distance': 200, 'time': '03:16,75'}], 'Medley': [{'distance': 200, 'time': '03:19,65'}, {'distance': 400, 'time': '07:27,53'}]}]"
